id;dob;dob_event_status;dob_event_data;dob_error;dob_notes;dfs;dfs_event_status;dfs_event_data;dfs_error;dfs_notes;dengrad;dengrad_event_status;dengrad_event_data;dengrad_error;dengrad_notes;weaned;weaned_event_status;weaned_event_data;weaned_error;weaned_notes;change_clan;change_clan_event_status;change_clan_event_data;change_clan_error;change_clan_notes;change_clan2;change_clan2_event_status;change_clan2_event_data;change_clan2_error;change_clan2_notes;change_clan3;change_clan3_event_status;change_clan3_event_data;change_clan3_error;change_clan3_notes;disappeared;disappeared_event_status;disappeared_event_data;disappeared_error;disappeared_notes,,,,,,
am15;NA;;talek;;;1997-07-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-07-20;dls;fate unknown;;,,,,,,
am150;NA;;;;;2002-01-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-01-29;;;;check EventStatus and EventData,,,,,,
am151;NA;;;;;2002-01-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-01-27;;;;check EventStatus and EventData,,,,,,
am152;NA;;;;;2002-02-23;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-02-23;;;;check EventStatus and EventData,,,,,,
am153;NA;;;;;2002-02-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-02-27;;;;check EventStatus and EventData,,,,,,
am154;NA;;;;;2002-02-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-09-02;;;;check EventStatus and EventData,,,,,,
am155;NA;;;;;2002-03-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-07-13;;;;check EventStatus and EventData,,,,,,
am156;NA;;;;;2002-03-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-07;;;;check EventStatus and EventData,,,,,,
am157;NA;;;;;2002-03-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-07;;;;check EventStatus and EventData,,,,,,
am158;NA;;;;;2002-03-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-15;;;;check EventStatus and EventData,,,,,,
am159;NA;;;;;2002-03-18;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-18;;;;check EventStatus and EventData,,,,,,
am16;NA;;talek;;;1997-07-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-07-25;dls;fate unknown;;,,,,,,
am160;NA;;;;;2002-03-18;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-18;;;;check EventStatus and EventData,,,,,,
am161;NA;;;;;2002-03-23;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-23;;;;check EventStatus and EventData,,,,,,
am162;NA;;;;;2002-03-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-24;;;;check EventStatus and EventData,,,,,,
am163;NA;;;;;2002-03-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-25;;;;check EventStatus and EventData,,,,,,
am164;NA;;;;;2002-03-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-25;;;;check EventStatus and EventData,,,,,,
am165;NA;;;;;2002-03-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-03-24;;;;check EventStatus and EventData,,,,,,
am166;NA;;;;;2002-04-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-04-10;;;;check EventStatus and EventData,,,,,,
am167;NA;;;;;2002-04-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-04-15;;;;check EventStatus and EventData,,,,,,
am168;NA;;;;;2002-04-22;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-04-22;;;;check EventStatus and EventData,,,,,,
am169;NA;;;;;2002-05-22;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-22;;;;check EventStatus and EventData,,,,,,
am17;NA;;talek;;;1997-08-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-08-08;dls;fate unknown;;,,,,,,
am170;NA;;;;;2002-05-30;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-30;;;;check EventStatus and EventData,,,,,,
am171;NA;;;;;2002-05-30;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-30;;;;check EventStatus and EventData,,,,,,
am172;NA;;;;;2002-08-16;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-08-16;;;;check EventStatus and EventData,,,,,,
am173;NA;;;;;2002-09-12;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-09-20;;;;check EventStatus and EventData,,,,,,
am174;NA;;;;;2002-09-19;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-09-19;;;;check EventStatus and EventData,,,,,,
am175;NA;;;;;2002-09-19;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-09-19;;;;check EventStatus and EventData,,,,,,
am177;NA;;;;;2002-12-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-12-02;;;;check EventStatus and EventData,,,,,,
am179;NA;;;;;2003-02-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-01-06;;;;check EventStatus and EventData,,,,,,
am18;NA;;talek;;;1997-08-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-08-08;dls;fate unknown;;,,,,,,
am180;NA;;;;;2003-02-12;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-02-12;;;;check EventStatus and EventData,,,,,,
am181;NA;;;;;2003-02-12;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-02-12;;;;check EventStatus and EventData,,,,,,
am182;NA;;;;;2003-02-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-02-06;;;;check EventStatus and EventData,,,,,,
am183;NA;;;;;2003-02-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-02-06;;;;check EventStatus and EventData,,,,,,
am186;NA;;;;;2003-05-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-05-09;;;;check EventStatus and EventData,,,,,,
am187;NA;;;;;2003-05-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-05-09;;;;check EventStatus and EventData,,,,,,
am188;NA;;;;;2003-07-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-07-02;;;;check EventStatus and EventData,,,,,,
am189;NA;;;;;2003-07-12;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-07-17;;;;check EventStatus and EventData,,,,,,
am19;NA;;talek;;;1997-08-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1997-08-08;dls;fate unknown;;,,,,,,
am190;NA;;;;;2003-07-17;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-07-17;;;;check EventStatus and EventData,,,,,,
am191;NA;;;;;2003-07-19;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-07-19;;;;check EventStatus and EventData,,,,,,
am194;NA;;;;;2003-08-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-11-08;;;;check EventStatus and EventData,,,,,,
am195;NA;;;;;2003-09-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-09-09;;;;check EventStatus and EventData,,,,,,
am196;NA;;;;;2003-09-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-09-09;;;;check EventStatus and EventData,,,,,,
am197;NA;;;;;2003-09-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-09-09;;;;check EventStatus and EventData,,,,,,
am198;NA;;;;;2003-09-11;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-09-11;;;;check EventStatus and EventData,,,,,,
am20;NA;;talek;;;1997-01-26;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-06-26;dls;fate unknown;;,,,,,,
am200;NA;;;;;2003-09-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-09-24;;;;check EventStatus and EventData,,,,,,
am201;NA;;;;;2003-11-18;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-11-18;;;;check EventStatus and EventData,,,,,,
am202;NA;;;;;2003-11-19;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-02-18;;;;check EventStatus and EventData,,,,,,
am203;NA;;;;;2003-11-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003-11-24;;;;check EventStatus and EventData,,,,,,
am205;NA;;;;;2004-01-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-01-08;;;;check EventStatus and EventData,,,,,,
am206;NA;;;;;2004-01-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-11-30;;;;check EventStatus and EventData,,,,,,
am207;NA;;;;;2004-01-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-03-09;;;;check EventStatus and EventData,,,,,,
am209;NA;;;;;2004-05-23;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-05-23;;;;check EventStatus and EventData,,,,,,
am21;NA;;talek;;;1998-01-22;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-01-22;dls;fate unknown;;,,,,,,
am211;NA;;;;;2004-08-03;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-08-18;;;;check EventStatus and EventData,,,,,,
am212;NA;;;;;2004-09-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-09-08;;;;check EventStatus and EventData,,,,,,
am215;NA;;;;;2004-10-04;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-10-05;;;;check EventStatus and EventData,,,,,,
am216;NA;;;;;2004-10-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-10-13;;;;check EventStatus and EventData,,,,,,
am217;NA;;;;;2004-10-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-11-09;;;;check EventStatus and EventData,,,,,,
am218;NA;;;;;2004-10-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-10-31;;;;check EventStatus and EventData,,,,,,
am219;NA;;;;;2004-10-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-10-27;;;;check EventStatus and EventData,,,,,,
am22;NA;;talek;;;1998-02-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-02-02;dls;fate unknown;;,,,,,,
am220;NA;;;;;2004-10-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005-05-24;;;;check EventStatus and EventData,,,,,,
am221;NA;;;;;2004-10-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-10-28;;;;check EventStatus and EventData,,,,,,
am222;NA;;;;;2004-10-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-10-28;;;;check EventStatus and EventData,,,,,,
am223;NA;;;;;2004-10-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-10-28;;;;check EventStatus and EventData,,,,,,
am224;NA;;;;;2004-11-21;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-11-22;;;;check EventStatus and EventData,,,,,,
am225;NA;;;;;2004-11-21;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-11-23;;;;check EventStatus and EventData,,,,,,
am226;NA;;;;;2004-12-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004-12-02;;;;check EventStatus and EventData,,,,,,
am228;NA;;;;;2004-12-30;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005-06-05;;;;check EventStatus and EventData,,,,,,
am229;NA;;;;;2005-01-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005-02-08;;;;check EventStatus and EventData,,,,,,
am23;NA;;talek;;;1998-02-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-02-05;dls;fate unknown;;,,,,,,
am230;NA;;;;;2005-01-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005-08-07;;;;check EventStatus and EventData,,,,,,
am235;NA;;;;;2005-08-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2005-08-05;;;;check EventStatus and EventData,,,,,,
am24;NA;;talek;;;1998-07-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-07-09;dls;fate unknown;;,,,,,,
am25;NA;;talek;;;1998-08-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-08-22;dls;fate unknown;;,,,,,,
am26;NA;;talek;;;1998-09-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-09-09;dls;fate unknown;;,,,,,,
am27;NA;;talek;;;1998-09-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-09-09;dls;fate unknown;;,,,,,,
am279;NA;;unknown;;;2007-01-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am28;NA;;talek;;;1998-09-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-09-09;dls;fate unknown;;,,,,,,
am280;NA;;unknown;;;2007-01-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am282;NA;;unknown;;;2007-03-23;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am283;NA;;unknown;;;2007-03-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am285;NA;;unknown;;;2007-04-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am286;NA;;unknown;;;2007-04-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am287;NA;;unknown;;;2007-04-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am288;NA;;unknown;;;2007-04-30;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am289;NA;;unknown;;;2007-05-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am29;NA;;talek;;;1998-09-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-09-10;dls;fate unknown;;,,,,,,
am291;NA;;unknown;;;2007-05-03;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am292;NA;;unknown;;;2007-05-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am293;NA;;unknown;;;2007-11-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am2a;NA;;talek;;;1998-06-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-06-13;dls;fate unknown;;,,,,,,
am2b;NA;;talek;;;1998-06-24;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-06-24;dls;fate unknown;;,,,,,,
am30;NA;;talek;;;1998-09-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-09-10;dls;fate unknown;;,,,,,,
am305;NA;;unknown;;;2008-10-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am306;NA;;;;;2008-10-26;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2008-10-26;;;;check EventStatus and EventData,,,,,,
am31;NA;;talek;;;1998-09-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-09-10;dls;fate unknown;;,,,,,,
am311;NA;;unknown;;;2008-11-07;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am312;NA;;unknown;;;2008-12-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am32;NA;;talek;;;1998-09-11;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-09-11;dls;fate unknown;;,,,,,,
am33;NA;;talek;;;1998-10-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-10-01;dls;fate unknown;;,,,,,,
am330;NA;;unknown;;;2009-07-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am334;NA;;unknown;;;NA;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am335;NA;;unknown;;;2009-10-05;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am336;NA;;unknown;;;2009-09-17;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;,,,,,,
am34;NA;;talek;;;1998-10-12;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-10-12;dls;fate unknown;;,,,,,,
am35;NA;;talek;;;1998-10-22;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-10-22;dls;fate unknown;;,,,,,,
am36;NA;;talek;;;1998-10-23;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-10-23;dls;fate unknown;;,,,,,,
am37;NA;;talek;;;1998-10-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-10-27;dls;fate unknown;;,,,,,,
am38;NA;;talek;;;1998-11-06;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-11-11;dls;fate unknown;;,,,,,,
am39;NA;;talek;;;1998-12-01;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-12-01;dls;fate unknown;;,,,,,,
am40;NA;;talek;;;1998-11-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-11-29;dls;fate unknown;;,,,,,,
am41;NA;;talek;;;1998-12-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-12-02;dls;fate unknown;;,,,,,,
am42;NA;;talek;;;1998-12-08;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-12-08;dls;fate unknown;;,,,,,,
am43;NA;;talek;;;1998-12-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-01-10;dls;fate unknown;;,,,,,,
am45;NA;;talek;;;1998-12-31;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998-12-31;dls;fate unknown;;,,,,,,
am46;NA;;talek;;;1999-01-04;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-01-04;dls;fate unknown;;,,,,,,
am47;NA;;talek;;;1999-01-27;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-01-27;dls;fate unknown;;,,,,,,
am49;NA;;talek;;;1999-02-13;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-02-13;dls;fate unknown;;,,,,,,
am51;NA;;talek;;;1999-02-15;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-02-15;dls;fate unknown;;,,,,,,
am52;NA;;talek;;;1999-04-20;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-04-20;dls;fate unknown;;,,,,,,
am53;NA;;talek;;;1999-08-09;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-09-04;dls;dispersed;;,,,,,,
am54;NA;;;;;1999-08-14;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-08-18;;;;check EventStatus and EventData,,,,,,
am55;NA;;talek;;;1999-08-17;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-08-17;dls;dispersed;;,,,,,,
am56;NA;;talek;;;1999-08-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-08-28;dls;dispersed;;,,,,,,
am57;NA;;talek;;;1999-08-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-08-28;dls;dispersed;;,,,,,,
am58;NA;;;;;1999-09-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-10-26;;;;check EventStatus and EventData,,,,,,
am59;NA;;;;;1999-09-28;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-09-28;;;;check EventStatus and EventData,,,,,,
am5a;NA;;talek;;;1995-12-02;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1995-12-02;dls;fate unknown;;,,,,,,
am60;NA;;;;;1999-09-29;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-09-29;;;;check EventStatus and EventData,,,,,,
am61;NA;;;;;1999-10-26;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-10-26;;;;check EventStatus and EventData,,,,,,
am62;NA;;;;;1999-11-25;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-11-25;;;;check EventStatus and EventData,,,,,,
am63;NA;;;;;1999-12-04;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-12-13;;;;check EventStatus and EventData,,,,,,
am65;NA;;;;;1999-11-26;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-12-06;;;;check EventStatus and EventData,,,,,,
am66;NA;;;;;1999-12-10;;;;;NA;;;;;NA;;;;;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999-12-17;;;;check EventStatus and EventData,,,,,,
